draft	player	kind	url
Sinkhole Surveyor	Sherni	initial	https://sealeddeck.tech/LXdvTS3N7r
Sinkhole Surveyor	Patrick	initial	https://sealeddeck.tech/nSwbjR2LZ6
Sinkhole Surveyor	lordtupperware	initial	https://sealeddeck.tech/K7XkgTCN3K
Sinkhole Surveyor	Oophies	initial	https://sealeddeck.tech/mDvUCKBGL9
Sinkhole Surveyor	bludac	initial	https://sealeddeck.tech/HN1J9RPiST
Sinkhole Surveyor	eggsalad	initial	https://sealeddeck.tech/s1k8H2GyQJ
Sinkhole Surveyor	Raybees	initial	https://sealeddeck.tech/iuXZSo7TfS
Sinkhole Surveyor	ebbitten	initial	https://sealeddeck.tech/2BSDtkQjuK
Sinkhole Surveyor	Patrick	rebuild	https://sealeddeck.tech/ssHZT6u4SL
Eagles of the North	klarmdurnduul	initial	https://sealeddeck.tech/CqEZPUDoAj
Eagles of the North	Tom	initial	https://sealeddeck.tech/FgwET1vKJt
Eagles of the North	Dom	initial	https://sealeddeck.tech/Roa7fBLmx4
Eagles of the North	Jack	initial	https://sealeddeck.tech/XzQgYnKUsS
Eagles of the North	yolonoke	initial	https://sealeddeck.tech/KUBvrFLNnv
Eagles of the North	baronvonfonz	initial	https://sealeddeck.tech/k6Hj3iFhYD
Eagles of the North	davidc	initial	https://sealeddeck.tech/2nNb5VqL6Z
Eagles of the North	Patchy	initial	https://sealeddeck.tech/ky6TQFFBKc
Eagles of the North	Steveb0t	initial	https://sealeddeck.tech/V4ZaoMR1Va
Eagles of the North	murmurtwin	initial	https://sealeddeck.tech/KTHyvvAafX
Birds of Paradise (s1)	Seat 7	initial	https://sealeddeck.tech/LFkSoBjPva
Birds of Paradise (s1)	Seat 5	initial	https://sealeddeck.tech/khPqcR6MZ1
Zendikar (s2)	Seat 5	initial	https://sealeddeck.tech/iL19di1bKi
Zendikar (s2)	Seat 7	initial	https://sealeddeck.tech/5EmGhhxJJq
Zendikar (s2)	Seat 2	initial	https://sealeddeck.tech/ehiFqHB9ti
Zendikar (s2)	Seat 3	initial	https://sealeddeck.tech/QgNwT5iQoP
Zendikar (s2)	Seat 4	initial	https://sealeddeck.tech/v9w5vdMFwY
Zendikar (s2)	Seat 9	initial	https://sealeddeck.tech/uGqEG8eF6m
Zendikar (s2)	Seat 1	initial	https://sealeddeck.tech/ehz7nzKzdC
Zendikar (s2)	Seat 6	initial	https://sealeddeck.tech/oNDjmGdLSN
Zendikar (s2)	Seat 8	initial	https://sealeddeck.tech/qFd8fpkQu3
Zendikar (s2)	Seat 10	initial	https://sealeddeck.tech/yuEg71UfXZ
Zendikar (s2)	Seat 7	rebuild	https://sealeddeck.tech/zqDh69LqZf
Zendikar (s2)	Seat 2	rebuild	https://sealeddeck.tech/hpZm1yfKV6
Zendikar (s2)	Seat 8	rebuild	https://sealeddeck.tech/dcPh9Li3Z5
Tarkir (s2)	Seat 9	initial	https://sealeddeck.tech/mdHsATnH4V
Tarkir (s2)	Seat 2	initial	https://sealeddeck.tech/kP1qzNWCps
Tarkir (s2)	Seat 10	initial	https://sealeddeck.tech/qdwjDiTEbY
Tarkir (s2)	Seat 1	initial	https://sealeddeck.tech/z39oRBfiyU
Tarkir (s2)	Seat 8	initial	https://sealeddeck.tech/opzy7jTYfM
Tarkir (s2)	Seat 3	initial	https://sealeddeck.tech/dQnmYQUb6D
Tarkir (s2)	Seat 5	initial	https://sealeddeck.tech/3EUSVLzTjE
Tarkir (s2)	Seat 7	initial	https://sealeddeck.tech/aWEaj319ow
Tarkir (s2)	Seat 1	rebuild	https://sealeddeck.tech/kA3sNTsXk8
Tarkir (s2)	Seat 6	initial	https://sealeddeck.tech/BvZowpxsty
Ravnica (s2)	Seat 9	initial	https://sealeddeck.tech/VqDwXeXkyn
Ravnica (s2)	Seat 7	initial	https://sealeddeck.tech/Ub1Bx6buhj
Ravnica (s2)	Seat 8	initial	https://sealeddeck.tech/YmSCViUsN1
Ravnica (s2)	Seat 4	initial	https://sealeddeck.tech/54M2rBaLQx
Ravnica (s2)	Seat 2	initial	https://sealeddeck.tech/sY9Bhpzv2G
Ravnica (s2)	Seat 3	initial	https://sealeddeck.tech/tEWeCSPusF
Ravnica (s2)	Seat 5	initial	https://sealeddeck.tech/v54kLHLaJB
Ravnica (s2)	Seat 10	initial	https://sealeddeck.tech/N694dSsexS
Ravnica (s2)	Seat 1	initial	https://sealeddeck.tech/ySgLMTtXc6
Ravnica (s2)	Seat 6	initial	https://sealeddeck.tech/ma6AGsf3vu
Lorwyn (s2)	Seat 6	initial	https://sealeddeck.tech/CDYYF7Db1E
Lorwyn (s2)	Seat 7	initial	https://sealeddeck.tech/Xis38CJBBd
Lorwyn (s2)	Seat 3	initial	https://sealeddeck.tech/AFrhVLarag
Lorwyn (s2)	Seat 4	initial	https://sealeddeck.tech/jJSPzyR2MU
Lorwyn (s2)	Seat 5	initial	https://sealeddeck.tech/WCnDQLCdGK
Lorwyn (s2)	Seat 5	rebuild	https://sealeddeck.tech/JSsgHa542S
Lorwyn (s2)	Seat 1	initial	https://sealeddeck.tech/Pn9Tqk7M16
Lorwyn (s2)	Seat 1	rebuild	https://sealeddeck.tech/sAaXF6TKLg
Lorwyn (s2)	Seat 6	rebuild	https://sealeddeck.tech/efsZRJw7TS
Lorwyn (s2)	Seat 1	rebuild	https://sealeddeck.tech/sAaXF6TKLg
Innistrad (s2)	clong	initial	https://sealeddeck.tech/teU9sc1Mam
Innistrad (s2)	Nova	initial	https://sealeddeck.tech/tcV6sq62M1
Innistrad (s2)	Tendertouch	initial	https://sealeddeck.tech/baSuoKYAjn
Innistrad (s2)	Mr. FancyPants	initial	https://sealeddeck.tech/Vnf7iNJUWw
Innistrad (s2)	dillon_k	initial	https://sealeddeck.tech/ebSCP6YiC8
Innistrad (s2)	philjackson	initial	https://sealeddeck.tech/KCnDdLs9Kj
Innistrad (s2)	Greg	initial	https://sealeddeck.tech/tzbkjbguYt
Innistrad (s2)	Aviseras	initial	https://sealeddeck.tech/P9Z2g7kXnQ
Innistrad (s2)	Keith	initial	https://sealeddeck.tech/9RLvHF9eqr
Innistrad (s2)	Ray Bees	initial	https://sealeddeck.tech/YjZDvs8hqy
Pyrogoyf (s2)	LastAbzan	initial	https://sealeddeck.tech/sbGHTETxfp
Pyrogoyf (s2)	Neo	initial	https://sealeddeck.tech/YctaBkH3Eu
Pyrogoyf (s2)	Aspi	initial	https://sealeddeck.tech/BCyypgfkC5
Pyrogoyf (s2)	Greg Sobetski	initial	https://sealeddeck.tech/2QxMD1xpFv
Pyrogoyf (s2)	Drew	initial	https://sealeddeck.tech/dRtucuXyE9
Pyrogoyf (s2)	whalematron	initial	https://sealeddeck.tech/kVjcdnXBRQ
Pyrogoyf (s2)	Keith	initial	https://sealeddeck.tech/LkDFLmsK95
Pyrogoyf (s2)	Keith	rebuild	https://sealeddeck.tech/C2pL2imHm7
Pyrogoyf (s2)	Elfandor	initial	https://sealeddeck.tech/KZhnRdzR2B
Pyrogoyf (s2)	Lame4Fame	initial	https://sealeddeck.tech/cuCNhbzNpd
Pyrogoyf (s2)	Patrick	initial	https://sealeddeck.tech/QWDv82PYph
Dark Ascension (s2)	Seat 3	initial	https://sealeddeck.tech/G334qpyoYr
Dark Ascension (s2)	Seat 10	initial	https://sealeddeck.tech/wuFurprPGa
Dark Ascension (s2)	Seat 4	initial	https://sealeddeck.tech/QJe7qdqotX
Dark Ascension (s2)	Seat 6	initial	https://sealeddeck.tech/Lry4j7M2sN
Dark Ascension (s2)	Seat 11	initial	https://sealeddeck.tech/EgMMJJCMjv
Dark Ascension (s2)	Seat 1	initial	https://sealeddeck.tech/FWCb3EtMG5
Dark Ascension (s2)	Seat 7	initial	https://sealeddeck.tech/EsPrxJEU6S
Dark Ascension (s2)	Seat 5	initial	https://sealeddeck.tech/EmTDusrmab
Dark Ascension (s2)	Seat 2	initial	https://sealeddeck.tech/erkpDK1rBW
Dark Ascension (s2)	Seat 7	rebuild	https://sealeddeck.tech/i5u5umPzZo
Dark Ascension (s2)	Seat 8	initial	https://sealeddeck.tech/JT8bxGSc2Q
Dark Ascension (s2)	Seat 12	initial	https://sealeddeck.tech/VAuJEbVLHa
Dark Ascension (s2)	Seat 9	initial	https://sealeddeck.tech/A6ZoakafHq
Fate Reforged (s2)	Seat 6	initial	https://sealeddeck.tech/2PfzXx4qsP
Fate Reforged (s2)	Seat 10	initial	https://sealeddeck.tech/w4Rraikixa
Fate Reforged (s2)	Seat 4	initial	https://sealeddeck.tech/WdvzDQGiwg
Fate Reforged (s2)	Seat 3	initial	https://sealeddeck.tech/y951FWot54
Fate Reforged (s2)	Seat 7	initial	https://sealeddeck.tech/GweTToMEu3
Fate Reforged (s2)	Seat 1	initial	https://sealeddeck.tech/1fBg6eBnjr
Fate Reforged (s2)	Seat 7	rebuild	https://sealeddeck.tech/TVi7CA9mfJ
Fate Reforged (s2)	Seat 9	initial	https://sealeddeck.tech/JgVyS1ekt4
Fate Reforged (s2)	Seat 2	initial	https://sealeddeck.tech/Gw5q2JB3KB
Fate Reforged (s2)	Seat 8	initial	https://sealeddeck.tech/L7Rny2Yxqe
Fate Reforged (s2)	Seat 5	initial	https://sealeddeck.tech/uvtytMF47c
Dark Confidant (s3)	klarmdurnduul	initial	https://sealeddeck.tech/Sujr3JB89n
Dark Confidant (s3)	Keith	initial	https://sealeddeck.tech/utBND7Y8B4
Dark Confidant (s3)	Dillon	initial	https://sealeddeck.tech/fFxo4QBniz
Dark Confidant (s3)	Ray Bees	initial	https://sealeddeck.tech/rzKHCJhM89
Dark Confidant (s3)	Skorish	initial	https://sealeddeck.tech/4SWY6TQbry
Dark Confidant (s3)	adhavoc	initial	https://sealeddeck.tech/9LhZNrFJ2p
Dark Confidant (s3)	dkriddles	initial	https://sealeddeck.tech/cHLGW9vtMt
Dark Confidant (s3)	Skorish	rebuild	https://sealeddeck.tech/icSPphTz4E
Dark Confidant (s3)	Ray Bees	rebuild	https://sealeddeck.tech/PcNrN9qyGd
Dark Confidant (s3)	clong	initial	https://sealeddeck.tech/nG8KvB98cy
Dark Confidant (s3)	drewshaver	initial	https://sealeddeck.tech/qAZnAVqff6
Dark Confidant (s3)	Jack	initial	https://sealeddeck.tech/2VuhL1ewAD
Bloodbraid Elf (s3)	gogey	initial	https://sealeddeck.tech/oNXDKnWCpf
Bloodbraid Elf (s3)	Rich	initial	https://sealeddeck.tech/rqke3yBwtM
Bloodbraid Elf (s3)	arborist	initial	https://sealeddeck.tech/PwFtCdgbxN
Bloodbraid Elf (s3)	bludac	initial	https://sealeddeck.tech/toWUXFqWVp
Bloodbraid Elf (s3)	Mr. Fancypants	initial	https://sealeddeck.tech/GfcGev7Q3V
Bloodbraid Elf (s3)	melissingout	initial	https://sealeddeck.tech/mXDovQiWW1
Bloodbraid Elf (s3)	Martin	initial	https://sealeddeck.tech/qoXmKBZrg4
Bloodbraid Elf (s3)	Oophies	initial	https://sealeddeck.tech/Nn19MKC7Yi
Bloodbraid Elf (s3)	balbadorf	initial	https://sealeddeck.tech/jz4gdzsQdx
Bloodbraid Elf (s3)	baneless	initial	https://sealeddeck.tech/qiZ3hKAhW1
Bloodbraid Elf (s3)	bludac	rebuild	https://sealeddeck.tech/HJz6qeLoS4
Tarmogoyf (s3)	baronvonfonz	initial	https://sealeddeck.tech/eWixjBJqCG
Tarmogoyf (s3)	samp	initial	https://sealeddeck.tech/WMPMUxBaV3
Tarmogoyf (s3)	philjackson	initial	https://sealeddeck.tech/yMxef5Q8mF
Tarmogoyf (s3)	philjackson	rebuild	https://sealeddeck.tech/rHFN5LJ5Kz
Tarmogoyf (s3)	Steveb0t	initial	https://sealeddeck.tech/kjW8MX8x6d
Tarmogoyf (s3)	Kyle	initial	https://sealeddeck.tech/r1wk7SHA9B
Tarmogoyf (s3)	giya	initial	https://sealeddeck.tech/LZYpr4rjmH
Tarmogoyf (s3)	giya	rebuild	https://sealeddeck.tech/5NVp1hc5J5
Tarmogoyf (s3)	M4RK	initial	https://sealeddeck.tech/TNPhegPPFk
Tarmogoyf (s3)	jmackie	initial	https://sealeddeck.tech/GV2GFe4gjk
Tarmogoyf (s3)	Greg	initial	https://sealeddeck.tech/CtNiHNxXS2
Thoughtseize (s3)	dgcritch	initial	https://sealeddeck.tech/Rmoq4LGpba
Thoughtseize (s3)	joshez	initial	https://sealeddeck.tech/28AxK2aiGS
Thoughtseize (s3)	Patrick	initial	https://sealeddeck.tech/jLxxTLPFjp
Thoughtseize (s3)	aviseras	initial	https://sealeddeck.tech/SWAEegXeLs
Thoughtseize (s3)	skar360	initial	https://sealeddeck.tech/yuUVWcYEWi
Thoughtseize (s3)	nicknaack	initial	https://sealeddeck.tech/T6HfeHkFzn
Blightning (s3)	lame4fame	initial	https://sealeddeck.tech/s7uJgo4kJK
Blightning (s3)	MONERSTOR	initial	https://sealeddeck.tech/JBJDM2ZWjL
Blightning (s3)	Marc	initial	https://sealeddeck.tech/z3y79avWDB
Blightning (s3)	murmurtwin	initial	https://sealeddeck.tech/syNF26xaud
Blightning (s3)	aspi	initial	https://sealeddeck.tech/W2BEePhqMc
Blightning (s3)	flutterdev	initial	https://sealeddeck.tech/ZCtChveC54
Blightning (s3)	Fabio	initial	https://sealeddeck.tech/sZTDuKhTmJ
Blightning (s3)	Max	initial	https://sealeddeck.tech/LuGrrzfbsT
Blightning (s3)	jwhiles	initial	https://sealeddeck.tech/YLmTWN7mF3
Blightning (s3)	TripleB	initial	https://sealeddeck.tech/6WjtThmgsw
Terminate (s3)	Greg	initial	https://sealeddeck.tech/AND3Up3i7D
Terminate (s3)	Ray Bees	initial	https://sealeddeck.tech/JYPJG2z3bV
Terminate (s3)	Marc	initial	https://sealeddeck.tech/LdsngziRQ2
Terminate (s3)	Lame4Fame	initial	https://sealeddeck.tech/XtYE8uwmHf
Terminate (s3)	samp	initial	https://sealeddeck.tech/1wkG4W3Cd6
Terminate (s3)	Baneless	initial	https://sealeddeck.tech/cZS4sWgCdr
Terminate (s3)	joshez	initial	https://sealeddeck.tech/UwbqmidEFY
Terminate (s3)	Jack	initial	https://sealeddeck.tech/8koZSHrUro
Terminate (s3)	Aviseras	initial	https://sealeddeck.tech/Rp6pBZfQJn
Terminate (s3)	Keith	initial	https://sealeddeck.tech/PbbK6USPGh
Maelstrom Pulse (s3)	Oophies	initial	https://sealeddeck.tech/8hMdJHCctf
Maelstrom Pulse (s3)	JiRock	initial	https://sealeddeck.tech/4CvfJBTpJP
Maelstrom Pulse (s3)	baronvonfonz	initial	https://sealeddeck.tech/oDxsJwjuqw
Maelstrom Pulse (s3)	Skorish	initial	https://sealeddeck.tech/mj3phaBivi
Maelstrom Pulse (s3)	jacklionheart	initial	https://sealeddeck.tech/tFBN7u3NiZ
Maelstrom Pulse (s3)	flutter	initial	https://sealeddeck.tech/ngxEYwWN5X
Maelstrom Pulse (s3)	murmurtwin	initial	https://sealeddeck.tech/iWEwWnhm4B
Maelstrom Pulse (s3)	Max	initial	https://sealeddeck.tech/yxAZJEdn8F
Maelstrom Pulse (s3)	Aspi	initial	https://sealeddeck.tech/nirtBNw6Wy
Maelstrom Pulse (s3)	murmurtwin	rebuild	https://sealeddeck.tech/U7c6znikHK
Raging Ravine (s3)	Neo	initial	https://sealeddeck.tech/DZ8JbEc5G9
Raging Ravine (s3)	murmurtwin	initial	https://sealeddeck.tech/YbZPhwYuew
Raging Ravine (s3)	Richard	initial	https://sealeddeck.tech/PiaMkpkN69
Raging Ravine (s3)	Richard	rebuild	https://sealeddeck.tech/eYPfdF6DiJ
Raging Ravine (s3)	Ray Bees	initial	https://sealeddeck.tech/sFPoZsEDEh
Raging Ravine (s3)	JiRock	initial	https://sealeddeck.tech/zFEL86VBcy
Raging Ravine (s3)	Neo	rebuild	https://sealeddeck.tech/kXMuwn7SJW
Raging Ravine (s3)	Angel	initial	https://sealeddeck.tech/Vy5xfEFoGR
Raging Ravine (s3)	Simon	initial	https://sealeddeck.tech/BcxuyCqJJe
Raging Ravine (s3)	Aspi	initial	https://sealeddeck.tech/31CWDggkNj
Liliana (s3)	Fear of Melissing Out	initial	https://sealeddeck.tech/jwuA2DYroE
Liliana (s3)	klarmdurnduul	initial	https://sealeddeck.tech/jQwzKpLx6m
Liliana (s3)	Greg	initial	https://sealeddeck.tech/iJ4ZcXhp2u
Liliana (s3)	dgcritch	initial	https://sealeddeck.tech/6UgRoWNQKd
Liliana (s3)	baronvonfonz	initial	https://sealeddeck.tech/rtLRSGL1pq
Liliana (s3)	skool0111	initial	https://sealeddeck.tech/rz5P1GKyoT
Liliana (s3)	whalematron	initial	https://sealeddeck.tech/Q8DUZCaSdw
Liliana (s3)	Max	initial	https://sealeddeck.tech/JKy4DXqCge
Scavenging Ooze (s3)	Jack	initial	https://sealeddeck.tech/KrUnm64TCA
Scavenging Ooze (s3)	giya	initial	https://sealeddeck.tech/r7J2fhtQfS
Scavenging Ooze (s3)	Bludac	initial	https://sealeddeck.tech/85SXNRMr17
Scavenging Ooze (s3)	dgcritch	initial	https://sealeddeck.tech/TrJg5x5UX9
Scavenging Ooze (s3)	Lame4Fame	initial	https://sealeddeck.tech/hbQTDNNf7o
Scavenging Ooze (s3)	Aviseras <('.'<)	initial	https://sealeddeck.tech/F1BnUN6Lv3
Scavenging Ooze (s3)	Oophies	initial	https://sealeddeck.tech/6mfVU3ASQ9
Scavenging Ooze (s3)	dgcritch	rebuild	https://sealeddeck.tech/jyhKe9QQcq
