cards	theme
Cool but Rude|Currency Converter|Faithless Looting|Hardened Academic|Marauding Mako	Discard
Cool but Rude|Currency Converter|Faithless Looting|Inti, Seneschal of the Sun|Marauding Mako	Discard
Cool but Rude|Currency Converter|Faithless Looting|Ivora, Insatiable Heir|Marauding Mako	Discard
Cool but Rude|Faithless Looting|Hardened Academic|Inti, Seneschal of the Sun|Marauding Mako	Discard
Cool but Rude|Faithless Looting|Hardened Academic|Ivora, Insatiable Heir|Marauding Mako	Discard
Cool but Rude|Faithless Looting|Hardened Academic|Marauding Mako|Unholy Heat	Discard
Cool but Rude|Faithless Looting|Inti, Seneschal of the Sun|Ivora, Insatiable Heir|Marauding Mako	Discard
Cool but Rude|Faithless Looting|Inti, Seneschal of the Sun|Marauding Mako|Scrapwork Mutt	Discard
Cool but Rude|Fear of Missing Out|Ivora, Insatiable Heir	Discard
Cool but Rude|Hardened Academic|Scrapwork Mutt	Discard
Cool but Rude|Inti, Seneschal of the Sun|Ivora, Insatiable Heir|Scrapwork Mutt	Discard
Cool but Rude|Ivora, Insatiable Heir|Lightning Bolt	Discard
Counterspell|Force Spike	Counterspells
Counterspell|Memory Lapse	Counterspells
Cut Down|Forsaken Miner|Sephiroth, Fabled SOLDIER	Sacrifice
Cut Down|Sephiroth, Fabled SOLDIER|Warren Soultrader	Sacrifice
Cut Down|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Delighted Halfling|Emeritus of Abundance|Malevolent Rumble	Graveyard
Delighted Halfling|Emeritus of Abundance|Uro, Titan of Nature's Wrath	Graveyard
Delighted Halfling|Ignoble Hierarch|Malevolent Rumble	Ramp
Detective's Phoenix|Fear of Missing Out	Graveyard
Dissection Tools|Staff of the Storyteller|Stoneforge Mystic	Aggro
Dragon's Rage Channeler|Stormchaser's Talent	Graveyard
Earthbender Ascension|Sentinel of the Nameless City|Springheart Nantuko	Landfall
Elvish Mystic|Ignoble Hierarch	Ramp/Dorks
Elvish Mystic|Llanowar Elves	Ramp/Dorks
Emeritus of Abundance|Fanatic of Rhonas|Uro, Titan of Nature's Wrath	Graveyard
Emeritus of Abundance|Llanowar Elves|Primal Might	Value
Enduring Innocence|Glimmer Lens|Staff of the Storyteller	Value
Ephemerate|Restoration Angel	Blink/ETB
Fanatic of Rhonas|Icetill Explorer	Graveyard
Fanatic of Rhonas|Six	Graveyard
Fear of Missing Out|Ivora, Insatiable Heir|Marauding Mako	Discard
Figure of Destiny|Hired Claw|Kumano Faces Kakkazan	Aggro
Force Spike|Stern Scolding	Counterspells
Forsaken Miner|Jadar, Ghoulcaller of Nephalia|Marionette Apprentice|Priest of Forgotten Gods|The Meathook Massacre|Warren Soultrader|Yawgmoth, Thran Physician	Sacrifice
Forsaken Miner|Jadar, Ghoulcaller of Nephalia|Marionette Apprentice|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Forsaken Miner|Jadar, Ghoulcaller of Nephalia|Priest of Forgotten Gods|Sephiroth, Fabled SOLDIER|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Forsaken Miner|Lord Skitter, Sewer King|Mayhem Devil|Yawgmoth, Thran Physician	Sacrifice
Forsaken Miner|Mayhem Devil|Sephiroth, Fabled SOLDIER|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Forsaken Miner|Mayhem Devil|The Meathook Massacre|Warren Soultrader|Yawgmoth, Thran Physician	Sacrifice
Forsaken Miner|Priest of Forgotten Gods|Sephiroth, Fabled SOLDIER|Warren Soultrader|Yawgmoth, Thran Physician	Sacrifice
Forsaken Miner|Sephiroth, Fabled SOLDIER|The Meathook Massacre|Warren Soultrader|Yawgmoth, Thran Physician	Sacrifice
Giver of Runes|Novice Inspector|Witch Enchanter	Aggro
Giver of Runes|Stoneforge Mystic|Witch Enchanter	Aggro
Glimmer Lens|Mother of Runes|Oust	Aggro
Glimmer Lens|Novice Inspector|Witch Enchanter	Aggro
Glimmer Lens|Staff of the Storyteller|Stoneforge Mystic	Value
Glimmer Lens|Stoneforge Mystic|Witch Enchanter	Value
Grim Lavamancer|Tersa Lightshatter	Graveyard
Grim Lavamancer|Unholy Heat	Graveyard
Hired Claw|Kumano Faces Kakkazan|Laelia, the Blade Reforged	Aggro
Hired Claw|Kumano Faces Kakkazan|Lightning Bolt	Aggro
Icetill Explorer|Sandman, Shifting Scoundrel	Graveyard
Icetill Explorer|Six	Graveyard
Ignoble Hierarch|Malevolent Rumble|Sentinel of the Nameless City|Springheart Nantuko	Graveyard
Inquisition of Kozilek|Thoughtseize	Discard
Intrepid Adversary|Novice Inspector|Sanguine Evangelist|Witch Enchanter	Aggro
Intrepid Adversary|Novice Inspector|Warden of the Inner Sky|Witch Enchanter	Aggro
Ivora, Insatiable Heir|Voldaren Epicure	Sacrifice
Jadar, Ghoulcaller of Nephalia|Marionette Apprentice|Sephiroth, Fabled SOLDIER|The Meathook Massacre|Warren Soultrader|Yawgmoth, Thran Physician	Sacrifice
Monstrous Rage|Ragavan, Nimble Pilferer	Tokens
Novice Inspector|Practiced Offense|Witch Enchanter	Aggro
Novice Inspector|Stoneforge Mystic|Witch Enchanter	Aggro
Novice Inspector|Thraben Inspector	Sacrifice
Obsessive Pursuit|Sephiroth, Fabled SOLDIER|Yawgmoth, Thran Physician	Sacrifice
Ophiomancer|Priest of Forgotten Gods|Yawgmoth, Thran Physician	Sacrifice
Ophiomancer|The Meathook Massacre|Yawgmoth, Thran Physician	Sacrifice
Overlord of the Balemurk|Reanimate|Troll of Khazad-dûm	Graveyard
Robber of the Rich|Screaming Nemesis	Burn/Aggro
Skyclave Apparition|Stoneforge Mystic	Blink/ETB
