name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,board,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom,Voucher,Artist
"Sunfall",5,"Sorcery",W,"mom","40",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",109890,false,false,"Kasia 'Kafis' Zielińska"
"Staff of the Storyteller",2,"Artifact",W,"onc","10",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",106883,false,false,"Dan Murayama Scott"
"Glimmer Lens",2,"Artifact - Equipment",W,"onc","6",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",106875,false,false,"Sidharth Chaturvedi"
"Abandoned Air Temple",0,"Land",,"tla","263",rare,White,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",145018,false,false,"Dom Lay"
"Solitude",0,"Creature - Elemental Incarnation",W,"mh2","307",mythic,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Svetlin Velinov"
"Thraben Inspector",1,"Creature - Human Soldier",W,"soi","44",common,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",60240,false,false,"Matt Stewart"
"Phelia, Exuberant Shepherd",2,"Legendary Creature - Dog",W,"mh3","40",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",126097,false,false,"Rudy Siswanto"
"Astrid Peth",2,"Legendary Creature - Human",W,"who","11",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Ekaterina Burmak"
"Stoneforge Mystic",2,"Creature - Kor Artificer",W,"sld","1253",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Rebecca Guay"
"Sage of the Skies",3,"Creature - Human Monk",W,"tdm","22",rare,null,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",138989,false,false,"Justyna Dura"
"Skyclave Apparition",3,"Creature - Kor Spirit",W,"znr","39",rare,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",83023,false,false,"Donato Giancola"
"Overlord of the Mistmoors",4,"Enchantment Creature - Avatar Horror",W,"dsk","23",mythic,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",130177,false,false,"Steven Belledin"
"Palace Jailer",4,"Creature - Human Soldier",W,"cn2","18",uncommon,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"David Palumbo"
"Unexpectedly Absent",2,"Instant",W,"c13","25",rare,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",51336,false,false,"Min Yum"
"Balance",2,"Sorcery",W,"lea","3",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Mark Poole"
"Portable Hole",1,"Artifact",W,"afr","398",uncommon,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"John Stanko"
"Pre-War Formalwear",3,"Artifact - Equipment",W,"pip","21",rare,White,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",132289,false,false,"Josu Hernaiz"
"Leyline Binding",1,"Enchantment",W,"dmu","387",rare,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Cristi Balanescu"
"Sheltered by Ghosts",2,"Enchantment - Aura",W,"dsk","30",uncommon,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",130191,false,false,"Mirko Failoni"
"Parallax Wave",4,"Enchantment",W,"nem","17",rare,White,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",13747,false,false,"Greg Staples"
"Subtlety",0,"Creature - Elemental Incarnation",U,"mh2","309",mythic,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Svetlin Velinov"
"Tamiyo, Inquisitive Student",1,"Legendary Creature - Moonfolk Wizard",U,"mh3","242",mythic,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",126513,false,false,"Magali Villeneuve"
"Mockingbird",1,"Creature - Bird Bard",U,"blb","305",rare,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",129023,false,false,"Mariah Tekulve"
"Spyglass Siren",1,"Creature - Siren Pirate",U,"lci","78",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",117956,false,false,"David Astruga"
"Malcolm, Alluring Scoundrel",2,"Legendary Creature - Siren Pirate",U,"lci","293",rare,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",117476,false,false,"Rafal Wechterowicz (Too Many Skulls)"
"Jace, Vryn's Prodigy",2,"Legendary Creature - Human Wizard",U,"ori","60",mythic,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",57880,false,false,"Jaime Jones"
"Kitsa, Otterball Elite",2,"Legendary Creature - Otter Wizard",U,"blb","304",mythic,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",129021,false,false,"David Petersen"
"Snapcaster Mage",3,"Creature - Human Wizard",U,"isd","78",rare,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",42512,false,false,"Volkan Baǵa"
"Plagon, Lord of the Beach",3,"Legendary Creature - Starfish Wizard",U,"j25","37",rare,null,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",132754,false,false,"GOSSAN"
"Wan Shi Tong, Librarian",2,"Legendary Creature - Bird Spirit",U,"tla","320",mythic,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",145142,false,false,"Andrea Piparo"
"Wan Shi Tong, All-Knowing",5,"Legendary Creature - Bird Spirit",U,"tle","98",mythic,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",145594,false,false,"Axel Sauerwald"
"Daze",0,"Instant",U,"soa","15",common,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",148337,false,false,"Lenka Šimečková"
"Brainstorm",1,"Instant",U,"tle","155",common,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Arthur Yuan"
"Ancestral Recall",1,"Instant",U,"lea","47",rare,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",315,false,false,"Mark Poole"
"Counterspell",2,"Instant",U,"lea","54",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Mark Poole"
"Memory Lapse",2,"Instant",U,"hml","32b",common,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Mark Tedin"
"Mana Leak",2,"Instant",U,"sth","36",common,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",10307,false,false,"Christopher Rush"
"Remand",2,"Instant",U,"tsr","316",special,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",87009,false,false,"Mark A. Nelson"
"Cryptic Command",4,"Instant",U,"lrw","56",rare,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",28499,false,false,"Wayne England"
"Preordain",1,"Sorcery",U,"soa","21",common,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",148349,false,false,"Aitor Sebastián"
"Ponder",1,"Sorcery",U,"lrw","79",common,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",28339,false,false,"Mark Tedin"
"Boomerang Basics",1,"Sorcery - Lesson",U,"tla","46",uncommon,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",144570,false,false,"Tubaki Halsame"
"Time Walk",2,"Sorcery",U,"lea","83",rare,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",817,false,false,"Amy Weber"
"Stormchaser's Talent",1,"Enchantment - Class",U,"blb","75",rare,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",129395,false,false,"Christina Kraus"
"Proft's Eidetic Memory",2,"Legendary Enchantment",U,"mkm","67",rare,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",121620,false,false,"Julie Dillon"
"Quantum Riddler",2,"Creature - Sphinx",U,"eoe","72",mythic,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",142757,false,false,"Izzy"
"Thassa's Oracle",2,"Creature - Merfolk Wizard",U,"mb2","175",rare,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",134274,false,false,"Jesper Ejsing"
"Abhorrent Oculus",3,"Creature - Eye",U,"dsk","42",mythic,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",130215,false,false,"Bryan Sola"
"Kappa Cannoneer",4,"Artifact Creature - Turtle Warrior",U,"nec","14",rare,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",97776,false,false,"Jesper Ejsing"
"Urza, Lord High Artificer",4,"Legendary Creature - Human Artificer",U,"dmr","296",mythic,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",107277,false,false,"Grzegorz Rutkowski"
"Marang River Regent",4,"Creature - Dragon",U,"tdm","51",rare,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",139049,false,false,"John Tedrick"
"Displacer Kitten",4,"Creature - Cat Beast",U,"clb","63",rare,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",100124,false,false,"Campbell White"
"Jace, Wielder of Mysteries",4,"Legendary Planeswalker - Jace",U,"plst","WAR-54",rare,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Anna Steinbauer"
"Force of Will",0,"Instant",U,"all","28",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Terese Nielsen"
"Spell Pierce",1,"Instant",U,"soa","23",rare,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",148353,false,false,"Paul Adam"
"Mana Drain",2,"Instant",U,"leg","65",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Mark Tedin"
"Occult Epiphany",3,"Instant",U,"voc","14",rare,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",95186,false,false,"Jason Rainville"
"Mystic Confluence",5,"Instant",U,"tsr","312",special,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",87001,false,false,"Kieran Yanner"
"Lórien Revealed",1,"Sorcery",U,"ltr","511",common,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",119412,false,false,"Randy Gallegos"
"Tinker",3,"Sorcery",U,"ulg","45",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",12623,false,false,"Mike Raabe"
"Stock Up",3,"Sorcery",U,"soa","24",uncommon,Blue,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",148355,false,false,"Dominik Mayer"
"Timetwister",3,"Sorcery",U,"lea","84",rare,Blue,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",819,false,false,"Mark Tedin"
"Grief",0,"Creature - Elemental Incarnation",B,"mh2","311",mythic,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Svetlin Velinov"
"Forsaken Miner",1,"Creature - Skeleton Rogue",B,"otj","88",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",124087,false,false,"Andrey Kuzinskiy"
"Moonshadow",1,"Creature - Elemental",B,"ecl","313",mythic,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",147139,false,false,"Julie Benbassat"
"Deep-Cavern Bat",2,"Creature - Bat",B,"lci","406",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",117546,false,false,"Campbell White"
"Emperor of Bones",2,"Creature - Skeleton Noble",B,"mh3","90",rare,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",126197,false,false,"Josh Hass"
"Dark Confidant",2,"Creature - Human Wizard",B,"rav","81",rare,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",23084,false,false,"Ron Spears"
"Dauthi Voidwalker",2,"Creature - Dauthi Rogue",B,"mh2","397",rare,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",91067,false,false,"Sidharth Chaturvedi"
"Marionette Apprentice",2,"Creature - Human Artificer",B,"mh3","410",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",125609,false,false,"Steve Ellis"
"Bloodghast",2,"Creature - Vampire Spirit",B,"sld","6",rare,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",79082,false,false,"Dan Mumford"
"Sephiroth, Fabled SOLDIER",3,"Legendary Creature - Human Avatar Soldier",B,"fin","115",mythic,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",141159,false,false,"Wisnu Tan"
"Yawgmoth, Thran Physician",4,"Legendary Creature - Human Cleric",B,"tsr","336",special,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",87049,false,false,"Mark Winters"
"Elegy Acolyte",4,"Creature - Human Cleric",B,"eoe","293",rare,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",143179,false,false,"Justin Hernandez & Alexis Hernandez"
"Fatal Push",1,"Instant",B,"aer","57",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",62689,false,false,"Eric Deschamps"
"Duress",1,"Sorcery",B,"usg","132",common,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",12317,false,false,"Lawrence Snelly"
"Inquisition of Kozilek",1,"Sorcery",B,"roe","115",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",36360,false,false,"Tomasz Jedruszek"
"Thoughtseize",1,"Sorcery",B,"tsr","334",special,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",87045,false,false,"Aleksi Briclot"
"Hymn to Tourach",2,"Sorcery",B,"fem","38a",common,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Susan Van Camp"
"Gix's Command",5,"Sorcery",B,"bro","97",rare,null,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",104812,false,false,"Dominik Mayer"
"Chthonian Nightmare",2,"Enchantment",B,"mh3","406",rare,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",125601,false,false,"Josu Solano"
"Troll of Khazad-dûm",1,"Creature - Troll",B,"ltr","562",common,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",119514,false,false,"Simon Dominic"
"Orcish Bowmasters",2,"Creature - Orc Archer",B,"ltr","554",rare,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",119498,false,false,"Maxim Kostin"
"Overlord of the Balemurk",2,"Enchantment Creature - Avatar Horror",B,"dsk","113",mythic,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",130357,false,false,"Babs Webb"
"Sorin of House Markov",2,"Legendary Creature - Human Noble",B,"mh3","245",mythic,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",126525,false,false,"Matt Stewart"
"Barrowgoyf",3,"Creature - Lhurgoyf",B,"m3c","102",rare,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",127403,false,false,"Igor Kieryluk"
"Sheoldred, the Apocalypse",4,"Legendary Creature - Phyrexian Praetor",B,"dmu","290",mythic,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Joe Esposito"
"Crabomination",6,"Creature - Crab Demon",B,"mh3","85",rare,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",126187,false,false,"Nicholas Gregory"
"Snuff Out",0,"Instant",B,"mmq","162",common,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",13495,false,false,"Mike Ploog"
"Dark Ritual",1,"Instant",B,"lea","98",common,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Sandra Everingham"
"Bitter Triumph",2,"Instant",B,"soa","26",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",148359,false,false,"Justin Hernandez & Alexis Hernandez"
"Reanimate",1,"Sorcery",B,"tmp","151",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",9989,false,false,"Robert Bliss"
"Demonic Tutor",2,"Sorcery",B,"lea","104",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Douglas Shuler"
"Yawgmoth's Will",3,"Sorcery",B,"usg","171",rare,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",12349,false,false,"Ron Spencer"
"Toxic Deluge",3,"Sorcery",B,"ema","108",rare,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",60829,false,false,"Svetlin Velinov"
"Doomsday",3,"Sorcery",B,"wth","66",mythic,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",9279,false,false,"Adrian Smith"
"Tendrils of Agony",4,"Sorcery",B,"scg","75",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",18866,false,false,"Pete Venters"
"Bolas's Citadel",6,"Legendary Artifact",B,"war","79",rare,Black,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",71764,false,false,"Jonas De Ro"
"Animate Dead",2,"Enchantment - Aura",B,"lea","92",uncommon,Black,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Anson Maddocks"
"Heartfire Hero",1,"Creature - Mouse Soldier",R,"blb","138",uncommon,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",129521,false,false,"Jakub Kasper"
"Detective's Phoenix",1,"Enchantment Creature - Phoenix",R,"mh3","116",rare,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",126249,false,false,"Deruchenko Alexander"
"Dragon's Rage Channeler",1,"Creature - Human Shaman",R,"h2r","9",uncommon,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",125541,false,false,"Martina Fačková"
"Stadium Headliner",1,"Creature - Goblin Warrior",R,"tdm","122",rare,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",139197,false,false,"Ralph Horsley"
"Emberheart Challenger",2,"Creature - Mouse Warrior",R,"blb","315",rare,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",129043,false,false,"Cory Godbey"
"Dreadhorde Arcanist",2,"Creature - Zombie Wizard",R,"tsr","341",special,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",87059,false,false,"G-host Lee"
"Slickshot Show-Off",2,"Creature - Bird Wizard",R,"otj","146",rare,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",124203,false,false,"Augusto Quirino"
"Inti, Seneschal of the Sun",2,"Legendary Creature - Human Knight",R,"lci","295",rare,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",117480,false,false,"Richard Luong"
"Fear of Missing Out",2,"Enchantment Creature - Nightmare",R,"dsk","136",rare,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",130403,false,false,"John Stanko"
"Ivora, Insatiable Heir",2,"Legendary Creature - Vampire Warrior",R,"j25","50",uncommon,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",132780,false,false,"Canata Katana"
"Death-Greeter's Champion",3,"Creature - Human Warrior",R,"moc","30",rare,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",111412,false,false,"Jason Rainville"
"Seasoned Pyromancer",3,"Creature - Human Shaman",R,"mh1","145",mythic,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",72662,false,false,"Cynthia Sheppard"
"Tersa Lightshatter",3,"Legendary Creature - Orc Wizard",R,"tdm","127",rare,null,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",139209,false,false,"Olivier Bernard"
"Monstrous Rage",1,"Instant",R,"soa","45",uncommon,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",148397,false,false,"Lorenzo Gaggiotti"
"Galvanic Discharge",1,"Instant",R,"mh3","417",common,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",125623,false,false,"Zoltan Boros"
"Lightning Bolt",1,"Instant",R,"lea","161",common,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Christopher Rush"
"Unholy Heat",1,"Instant",R,"h2r","13",common,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",125549,false,false,"Kari Christensen"
"Chain Lightning",1,"Sorcery",R,"leg","137",common,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Sandra Everingham"
"Flame Slash",1,"Sorcery",R,"sch","1",rare,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Antonio José Manzanedo"
"Fiery Confluence",4,"Sorcery",R,"ss3","3",rare,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Micah Epstein"
"Cori-Steel Cutter",2,"Artifact - Equipment",R,"tdm","103",rare,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",139159,false,false,"Xabi Gaztelua"
"Goblin Bombardment",2,"Enchantment",R,"tmp","179",uncommon,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",10077,false,false,"Brian Snõddy"
"Cool but Rude",2,"Enchantment - Class",R,"tmt","89",rare,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",147801,false,false,"Lordigan"
"Fury",0,"Creature - Elemental Incarnation",R,"mh2","313",mythic,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Svetlin Velinov"
"Ragavan, Nimble Pilferer",1,"Legendary Creature - Monkey Pirate",R,"mul","21",mythic,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",109264,false,false,"Magali Villeneuve"
"Oliphaunt",1,"Creature - Elephant",R,"ltr","590",common,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",119570,false,false,"John Di Giovanni"
"Draconautics Engineer",2,"Creature - Goblin Artificer",R,"dft","121",rare,null,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",136365,false,false,"Artur Nakhodkin"
"Screaming Nemesis",3,"Creature - Spirit",R,"dsk","157",mythic,null,Not Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",130445,false,false,"Liiga Smilshkalne"
"Gut, True Soul Zealot",3,"Legendary Creature - Goblin Shaman",R,"clb","399",uncommon,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Pedro Potier"
"Broadside Bombardiers",3,"Creature - Goblin Pirate",R,"lcc","86",rare,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",119178,false,false,"Tomek Larek"
"Nova Hellkite",3,"Creature - Dragon",R,"eoe","148",rare,null,Not Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",142909,false,false,"Raymond Swanland"
"Headliner Scarlett",4,"Legendary Creature - Human Warlock",R,"clu","4",rare,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",123418,false,false,"Heonhwa"
"Pyrogoyf",4,"Creature - Lhurgoyf",R,"m3c","111",rare,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",127421,false,false,"Xabi Gaztelua"
"Pyrokinesis",0,"Instant",R,"all","78",uncommon,null,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Ron Spencer"
"Galvanic Blast",1,"Instant",R,"som","91",common,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",38203,false,false,"Marc Simonetti"
"Wheel of Fortune",3,"Sorcery",R,"leb","184",rare,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Daniel Gelon"
"Chainsaw",2,"Artifact - Equipment",R,"dsk","128",rare,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",130387,false,false,"J.P. Targete"
"Underworld Breach",2,"Enchantment",R,"mb2","200",rare,Red,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",134324,false,false,"Lie Setiawan"
"Fable of the Mirror-Breaker",3,"Enchantment - Saga",R,"neo","357",rare,Red,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"akio"
"Endurance",3,"Creature - Elemental Incarnation",G,"mh2","317",mythic,Green,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",-1,false,false,"Svetlin Velinov"
"Ignoble Hierarch",1,"Creature - Goblin Shaman",G,"mh2","414",rare,Green,Owned,Non-foil,mainboard,false,,,"🧙 Tolaria","",91101,false,false,"Mark Zug"
"Noble Hierarch",1,"Creature - Human Druid",G,"con","87",rare,Green,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",31745,false,false,"Mark Zug"
"Birds of Paradise",1,"Creature - Bird",G,"lea","186",rare,Green,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",-1,false,false,"Mark Poole"
"Hexdrinker",1,"Creature - Snake",G,"mh1","168",mythic,Green,Owned,Non-foil,mainboard,false,,,"🌳 Gaea","",72708,false,false,"Forrest Imel"
